Frequency,Vout/Vin,Vin,Vout
305.923136,1.567703,0.083568,0.13101
311.854393,1.641979,0.08451,0.138763
317.778975,1.724134,0.085577,0.147546
323.705097,1.817982,0.086841,0.157875
329.629368,1.926929,0.088246,0.170043
335.555677,2.055062,0.090018,0.184993
341.480582,2.201986,0.092178,0.202974
347.405584,2.376668,0.09484,0.225404
353.331706,2.583663,0.098187,0.253681
359.259883,2.834618,0.102536,0.29065
365.180225,3.186386,0.106688,0.339948
370.772833,3.544264,0.11382,0.403407
376.36723,3.990147,0.122836,0.490136
381.961787,4.542668,0.132794,0.603241
387.557668,5.228157,0.137756,0.720209
393.150056,6.038834,0.125621,0.758602
398.74585,6.889236,0.097725,0.673249
404.338338,7.406798,0.073592,0.545078
410.264209,7.260341,0.059355,0.430938
416.18805,6.508072,0.053472,0.348002
422.115058,5.563237,0.051863,0.288526
428.041721,4.699097,0.052108,0.244861
433.963952,3.994929,0.053029,0.211846
439.886136,3.442278,0.054145,0.186382
445.814037,3.003785,0.055237,0.165921
451.737411,2.653172,0.056305,0.149388
457.664346,2.371795,0.057251,0.135787
463.589809,2.139155,0.058108,0.124303
469.509712,1.947626,0.058884,0.114684
475.440658,1.787016,0.059603,0.106512
481.366701,1.651969,0.060211,0.099467
487.289514,1.542447,0.060706,0.093636
493.219132,1.445682,0.061196,0.08847
499.139593,1.361532,0.061621,0.0839
505.064456,1.287351,0.062014,0.079834
510.991685,1.22519,0.062385,0.076433
516.914099,1.168741,0.062753,0.073342
522.843298,1.119854,0.063039,0.070595
528.766838,1.072064,0.06334,0.067905
534.693069,1.032204,0.063597,0.065645
540.618328,0.99847,0.063829,0.063731
546.542413,0.966147,0.06405,0.061881
552.464206,0.940172,0.06424,0.060397
558.394365,0.914357,0.064431,0.058913
564.317934,0.891027,0.064623,0.057581
570.24633,0.872151,0.064795,0.056511
576.172112,0.852282,0.064919,0.055329
582.09374,0.835386,0.065098,0.054382
588.020017,0.817851,0.065204,0.053327
593.945094,0.804869,0.065338,0.052589
599.869188,0.792105,0.065477,0.051865
605.794466,0.779824,0.065627,0.051177
611.717817,0.768209,0.065687,0.050461
617.647235,0.757325,0.065777,0.049814
623.567586,0.747487,0.065894,0.049255
