Frequency,Vout/Vin,Vin,Vout
302.539893,6.07019,0.033441,0.202995
305.07992,6.143178,0.034015,0.208958
307.620255,6.217136,0.034624,0.215261
310.158372,6.293946,0.035258,0.22191
312.700206,6.370817,0.035932,0.228918
315.240253,6.448221,0.03664,0.236266
317.777886,6.527864,0.037387,0.244056
320.318167,6.608964,0.038177,0.252311
322.85792,6.69321,0.039014,0.261128
325.395669,6.779898,0.0399,0.27052
327.938336,6.868157,0.040844,0.28052
330.47717,6.957857,0.041846,0.291161
333.015242,7.048557,0.042923,0.302547
335.555335,7.143228,0.044076,0.314844
338.095029,7.237359,0.045322,0.328014
340.633676,7.333074,0.046664,0.342188
343.171708,7.433497,0.048109,0.357619
345.71171,7.534392,0.049672,0.374251
348.251603,7.637176,0.051368,0.392307
350.789951,7.741586,0.053213,0.411951
353.330394,7.843278,0.055243,0.433285
355.87088,7.946289,0.057449,0.456505
358.40917,8.049999,0.059872,0.481971
360.948167,8.138429,0.062465,0.508366
363.486242,8.229667,0.06539,0.538141
366.024318,8.328726,0.068624,0.571549
368.564647,8.392185,0.07204,0.604572
371.103255,8.446379,0.075785,0.640111
373.642234,8.418119,0.079593,0.670022
376.18369,8.074407,0.080825,0.652615
378.72258,8.180567,0.087463,0.715494
381.261943,8.743517,0.095927,0.83874
383.800405,8.546471,0.10056,0.859435
386.338715,8.540944,0.103338,0.882607
388.737198,8.904803,0.111442,0.992371
391.13421,9.009347,0.117799,1.061291
393.531365,9.273464,0.126227,1.170558
395.927955,9.358821,0.130363,1.220045
398.325224,10.336055,0.14079,1.45521
402.690217,10.96948,0.129755,1.423345
405.082365,11.263969,0.119721,1.348531
407.481791,11.539024,0.108683,1.25409
409.876759,11.804934,0.097711,1.153471
412.274857,11.907112,0.088671,1.055821
414.813337,12.018114,0.079252,0.952462
417.353442,12.15167,0.070987,0.862607
419.892138,12.398482,0.063797,0.790986
422.433339,12.651141,0.057565,0.728265
424.972814,12.912443,0.052145,0.673316
427.512173,13.174714,0.047439,0.624994
430.053118,13.447663,0.043312,0.582442
432.592435,13.720951,0.039703,0.54477
435.130988,13.995209,0.036522,0.511131
437.670683,14.274278,0.033703,0.481086
440.209916,14.555638,0.031207,0.454242
442.749922,14.828505,0.028986,0.429824
445.288981,15.107362,0.026995,0.40782
447.828222,15.375677,0.025216,0.387712
450.368316,15.635012,0.023629,0.369447
452.906828,15.871903,0.022214,0.352585
455.444833,16.098912,0.020941,0.337123
457.98498,16.303478,0.019804,0.322877
460.522376,16.481554,0.018785,0.30961
463.062165,16.629619,0.017876,0.297268
465.601711,16.757255,0.017063,0.28593
468.141903,16.838402,0.016348,0.275278
470.682114,16.874371,0.015721,0.265275
473.22019,16.872667,0.015166,0.255887
475.75939,16.829501,0.014684,0.247118
478.29847,16.74161,0.014269,0.238879
480.837169,16.605327,0.013917,0.231097
483.378111,16.42994,0.013616,0.223717
485.918401,16.21498,0.013366,0.216732
488.457167,15.964498,0.013162,0.210117
490.997091,15.68262,0.012999,0.203864
493.534685,15.368651,0.012878,0.197917
496.074049,15.029806,0.012791,0.192243
498.613642,14.673173,0.012733,0.186837
501.15177,14.305147,0.012699,0.181665
503.692705,13.917388,0.012695,0.176679
506.231551,13.530083,0.012708,0.171946
508.770186,13.13777,0.012743,0.167413
511.310766,12.743363,0.012796,0.163067
513.849946,12.354269,0.012864,0.158922
516.387168,11.972855,0.01294,0.154923
518.928203,11.595832,0.013032,0.151112
521.467021,11.224958,0.013134,0.147427
524.006906,10.865419,0.013242,0.143883
526.545263,10.511021,0.013363,0.140458
529.083595,10.167107,0.013486,0.137117
531.624519,9.832973,0.013618,0.133907
534.162222,9.509438,0.013754,0.130795
536.700185,9.198899,0.013893,0.127803
539.242234,8.898952,0.014034,0.124891
541.781154,8.610402,0.014177,0.122069
544.319166,8.331653,0.014323,0.119338
546.858098,8.064908,0.014471,0.116708
549.396102,7.804721,0.014622,0.114118
551.93543,7.551843,0.01478,0.111618
554.47521,7.314861,0.01493,0.10921
557.016129,7.082723,0.015087,0.106858
559.556926,6.862525,0.01524,0.104586
562.094655,6.647492,0.015398,0.102358
564.633368,6.442232,0.015556,0.100215
567.172774,6.281674,0.01571,0.098684
569.712156,6.092643,0.015872,0.096701
572.251822,5.915167,0.016024,0.094786
574.791111,5.741597,0.016182,0.09291
577.330429,5.57661,0.016338,0.09111
579.870227,5.416369,0.016492,0.089326
582.41009,5.263519,0.016645,0.087613
584.948057,5.116406,0.016796,0.085934
587.486586,4.97431,0.016949,0.08431
590.025223,4.837263,0.017097,0.082704
592.565193,4.704181,0.017248,0.081138
595.104094,4.57328,0.017402,0.079584
