Frequency,Vout/Vin,Vin,Vout
302.538139,2.255812,0.053176,0.119956
305.077401,2.274273,0.053535,0.121754
307.617193,2.312349,0.05387,0.124565
310.155928,2.350056,0.054246,0.12748
312.696759,2.39612,0.054653,0.130955
315.236895,2.434506,0.055075,0.134081
317.7756,2.478147,0.055456,0.137429
320.320925,2.519811,0.055937,0.140952
322.857766,2.559402,0.056463,0.144512
325.396327,2.605728,0.05698,0.148475
327.937113,2.653109,0.057541,0.152664
330.476089,2.700159,0.058172,0.157074
333.016002,2.748925,0.058887,0.161875
335.553729,2.807012,0.059527,0.167093
338.092979,2.861556,0.060321,0.172613
340.63466,2.92195,0.0611,0.17853
343.174073,2.981406,0.062001,0.18485
345.713636,3.047216,0.062933,0.191769
348.252893,3.115466,0.063939,0.1992
350.791032,3.34606,0.064878,0.217086
353.330606,3.429156,0.066037,0.226451
355.868845,3.51733,0.067305,0.236736
358.407158,3.606308,0.068677,0.24767
360.948855,3.695615,0.070272,0.259698
363.488578,3.798838,0.072,0.273516
366.0266,3.903913,0.073902,0.288507
368.566078,4.016054,0.076016,0.305284
371.104083,4.137397,0.078362,0.324213
373.643299,4.259166,0.081067,0.345279
376.182398,4.388863,0.084117,0.369176
378.721056,4.524648,0.08757,0.396225
381.261162,4.67351,0.091466,0.427467
383.800075,4.828853,0.095915,0.463158
386.337705,4.992382,0.100983,0.504144
388.875632,5.241422,0.105145,0.551111
391.271357,5.404794,0.111252,0.601296
393.668628,5.573268,0.117879,0.656973
396.065299,5.75221,0.124719,0.717409
398.462518,5.936102,0.131224,0.778959
400.85946,6.129908,0.136409,0.836175
403.25697,6.329505,0.139037,0.880034
405.653953,6.521955,0.137802,0.898739
408.050464,6.722496,0.132302,0.889399
410.447496,6.942252,0.123339,0.856253
412.845993,7.156412,0.112189,0.80287
415.241856,7.399426,0.100389,0.74282
417.63748,7.524899,0.090455,0.680665
420.178276,7.698049,0.08033,0.618386
422.71603,7.844489,0.071666,0.562185
425.257092,7.951598,0.064392,0.512015
427.796371,8.025255,0.058375,0.468474
430.334913,8.064169,0.05344,0.430949
432.872492,8.052397,0.049401,0.397798
435.413321,8.001592,0.046106,0.368921
437.952982,7.903375,0.04345,0.3434
440.492527,7.767963,0.041312,0.320912
443.031703,7.598433,0.039587,0.300799
445.570009,7.405848,0.038191,0.282837
448.111029,7.20105,0.037073,0.266965
450.650573,6.980878,0.036193,0.252658
453.188911,6.74821,0.035511,0.239639
455.730383,6.511137,0.035004,0.227913
458.267525,6.27279,0.034623,0.217185
460.807042,6.003731,0.034343,0.206188
463.347762,5.774766,0.034126,0.197068
465.886031,5.539727,0.034019,0.188455
468.426983,5.323618,0.033904,0.180493
470.964751,5.146248,0.033877,0.174339
473.506031,4.96155,0.03384,0.167897
476.045707,4.784841,0.033875,0.162085
478.585587,4.614857,0.033928,0.156575
481.124206,4.456248,0.034,0.151514
483.662523,4.3074,0.034093,0.146851
486.201513,4.164621,0.034172,0.142314
488.741171,4.00652,0.034323,0.137515
491.279758,3.895509,0.034452,0.13421
493.820678,3.763852,0.034612,0.130274
496.359756,3.651195,0.034744,0.126856
498.898601,3.553747,0.034889,0.123986
501.436021,3.45048,0.034986,0.120717
503.975579,3.354775,0.035128,0.117847
506.515406,3.236609,0.035255,0.114107
509.055591,3.151521,0.035423,0.111635
511.594085,3.075438,0.03556,0.109362
514.133325,3.001501,0.035665,0.107049
516.673923,2.929774,0.035784,0.104838
519.212302,2.85074,0.035868,0.102251
521.750634,2.645973,0.035959,0.095147
524.290396,2.596446,0.036096,0.093721
526.828872,2.535015,0.03626,0.09192
529.369013,2.481306,0.036379,0.090268
531.907632,2.431485,0.036473,0.088683
534.446493,2.38008,0.036612,0.087138
536.988131,2.334876,0.036743,0.08579
539.525717,2.281557,0.036893,0.084173
542.065147,2.235985,0.037039,0.082818
544.605268,2.198211,0.037105,0.081565
547.143929,2.161494,0.037168,0.080339
549.684088,2.122697,0.037272,0.079117
552.223562,2.088028,0.037377,0.078044
554.763384,2.051065,0.037513,0.076942
557.303156,2.017447,0.037592,0.07584
559.841458,1.985826,0.037713,0.074892
562.380517,1.955669,0.037798,0.073921
564.919095,1.924877,0.037925,0.073002
567.457731,1.897212,0.038043,0.072176
569.999099,1.866331,0.038172,0.071242
572.536404,1.838356,0.038283,0.070377
575.07909,1.813137,0.038371,0.069573
577.619364,1.793016,0.038449,0.068939
580.15799,1.768431,0.038576,0.068219
582.697075,1.74746,0.038626,0.067497
585.236056,1.723793,0.038686,0.066687
587.774222,1.7042,0.038737,0.066015
590.315686,1.689055,0.038776,0.065496
592.854094,1.661576,0.038882,0.064606
595.392438,1.643995,0.038938,0.064014
