D1-1-in,D1-1-out,D1-2-in,D1-2-out,D3-1-in,D3-1-out,D3-2-in,D3-2-out,D4-1-in,D4-1-out,D4-2-in,D4-2-out
-1.195799,0.06918,-1.4835105,0.00398,-1.4833705,4.30E-04,-1.212967,0.07265,-1.4835985,0.01617,-0.9735655,0.0733
-1.188511,0.06918,-1.4757875,0.00388,-1.4756595,-4.10E-04,-1.205975,0.07063,-1.476271,0.01496,-0.966232,0.07107
-1.1812315,0.06939,-1.4680895,0.00326,-1.4679765,0.0011,-1.198699,0.07118,-1.4689455,0.01549,-0.9589735,0.07079
-1.173924,0.06967,-1.460389,0.0031,-1.460262,2.90E-04,-1.1914215,0.06999,-1.4616515,0.01471,-0.951691,0.07193
-1.166622,0.06918,-1.452707,0.00271,-1.452576,-3.70E-04,-1.1841595,0.07027,-1.454374,0.01428,-0.9442845,0.07366
-1.1593635,0.0684,-1.4450435,0.00237,-1.4448935,9.00E-05,-1.1768795,0.07032,-1.4470445,0.01308,-0.9368685,0.07125
-1.152096,0.06897,-1.437342,0.00199,-1.437192,0.0033,-1.169615,0.07041,-1.439728,0.01133,-0.929542,0.07163
-1.144774,0.07004,-1.4296515,0.00191,-1.4295415,-0.00271,-1.162339,0.0697,-1.432457,0.01084,-0.9222005,0.07188
-1.137451,0.06886,-1.4220095,0.00147,-1.421914,0.00282,-1.1550605,0.07035,-1.425203,0.01041,-0.9148545,0.07151
-1.130123,0.07008,-1.414252,0.00129,-1.4141645,-3.70E-04,-1.1477505,0.0712,-1.41796,0.01,-0.907496,0.07209
-1.1228295,0.06811,-1.4065085,0.00113,-1.4064275,7.50E-04,-1.140422,0.07051,-1.4106355,0.01071,-0.9001565,0.07166
-1.115595,0.06924,-1.398864,0.00131,-1.398767,2.70E-04,-1.13313,0.07025,-1.403311,0.01002,-0.8928575,0.07094
-1.108307,0.06824,-1.3911695,0.00143,-1.3910455,4.50E-04,-1.1258255,0.07085,-1.395988,0.01156,-0.8855505,0.07089
-1.101029,0.0691,-1.383498,0.00121,-1.3833615,3.30E-04,-1.118526,0.07011,-1.3886545,0.00945,-0.8781575,0.07273
-1.093657,0.0707,-1.3758615,0.00126,-1.3757205,0.00128,-1.1112585,0.07038,-1.3813755,0.0094,-0.870745,0.07123
-1.0863145,0.06851,-1.368199,0.00136,-1.3680795,2.80E-04,-1.103983,0.06953,-1.3741225,0.00763,-0.8633925,0.07151
-1.079057,0.06935,-1.3604295,0.00135,-1.360308,1.80E-04,-1.0966435,0.07176,-1.366865,0.00811,-0.856046,0.07196
-1.071784,0.06828,-1.3527145,0.00137,-1.352569,2.80E-04,-1.0893045,0.07005,-1.359479,0.00836,-0.8486965,0.07166
-1.0645325,0.06896,-1.345044,0.00132,-1.344905,1.00E-04,-1.0820215,0.06987,-1.3521275,0.00934,-0.841385,0.0712
-1.057246,0.06856,-1.3373735,0.00131,-1.337239,5.70E-04,-1.074741,0.07012,-1.3448745,0.00868,-0.8340865,0.07145
-1.049955,0.0689,-1.3297425,0.00132,-1.329594,3.60E-04,-1.0674915,0.06912,-1.337596,0.00843,-0.8266635,0.07326
-1.042702,0.06841,-1.322072,0.00118,-1.321921,2.20E-04,-1.06023,0.07,-1.3303035,0.00805,-0.8192375,0.07135
-1.035497,0.06834,-1.314428,9.40E-04,-1.3142905,4.60E-04,-1.0529745,0.06891,-1.3230175,0.00886,-0.811907,0.0714
-1.028181,0.06962,-1.306798,8.80E-04,-1.306651,2.70E-04,-1.0457445,0.06956,-1.3157915,0.00981,-0.80459,0.07079
-1.0208695,0.06871,-1.2991215,0.00104,-1.2989745,3.60E-04,-1.038473,0.06963,-1.30856,0.00879,-0.7972725,0.07127
-1.0136495,0.06858,-1.2913985,7.90E-04,-1.2912655,3.90E-04,-1.0312075,0.07031,-1.3013405,0.0088,-0.7899685,0.0708
-1.006391,0.06901,-1.2837025,7.40E-04,-1.2835685,4.60E-04,-1.0238695,0.07043,-1.2940255,0.0091,-0.782666,0.07166
-0.998803,0.06819,-1.276055,8.40E-04,-1.2759155,4.70E-04,-1.0165625,0.0691,-1.2866875,0.00815,-0.7753465,0.07172
-0.9883075,0.06985,-1.268427,8.30E-04,-1.268289,4.50E-04,-1.0093455,0.06917,-1.279444,0.00775,-0.7680635,0.07068
-0.978059,0.12375,-1.260757,8.50E-04,-1.260605,4.50E-04,-1.0017535,0.06909,-1.2721725,0.00701,-0.7607055,0.07225
-0.9706905,0.06913,-1.253052,7.30E-04,-1.2529035,3.90E-04,-0.991223,0.07062,-1.2648975,0.00774,-0.753297,0.07135
