Vin,Vout
-1.487374,-0.019874
-1.479647,-0.019476
-1.471928,-0.019088
-1.464251,-0.018762
-1.456527,-0.018452
-1.448887,-0.018181
-1.4412,-0.017944
-1.433484,-0.017745
-1.425819,-0.017554
-1.4182,-0.017407
-1.410304,-0.017278
-1.402713,-0.017165
-1.395015,-0.017034
-1.387324,-0.016891
-1.379672,-0.01677
-1.372051,-0.016644
-1.364347,-0.016508
-1.356512,-0.016373
-1.348917,-0.016236
-1.341171,-0.016104
-1.333576,-0.015973
-1.325909,-0.015841
-1.318235,-0.015723
-1.310621,-0.015629
-1.302975,-0.015541
-1.295268,-0.015437
-1.287529,-0.015358
-1.279876,-0.015284
-1.272234,-0.0152
-1.26462,-0.015117
-1.256894,-0.015032
-1.24921,-0.014959
-1.241539,-0.014899
-1.233867,-0.014832
-1.226374,-0.014761
-1.21874,-0.01471
-1.211005,-0.014657
-1.203205,-0.014587
-1.195543,-0.014498
-1.187864,-0.014457
-1.180183,-0.014392
-1.1725,-0.014331
-1.164829,-0.01429
-1.1572,-0.01424
-1.14954,-0.014179
-1.141749,-0.014131
-1.134056,-0.014109
-1.12633,-0.014032
-1.118691,-0.013949
-1.110986,-0.013893
-1.103391,-0.013859
-1.095718,-0.01382
-1.08789,-0.013768
-1.080254,-0.013729
-1.072499,-0.013663
-1.064867,-0.013627
-1.057193,-0.013572
-1.04955,-0.013549
-1.041938,-0.013507
-1.034295,-0.01347
-1.026534,-0.013429
-1.01882,-0.013425
-1.011177,-0.013363
-1.00351,-0.013328
-0.99516,-0.013302
-0.981758,-0.013241
-0.974325,-0.013293
-0.966769,-0.013104
-0.959179,-0.013135
-0.951526,-0.01308
-0.943933,-0.013043
-0.936085,-0.012994
-0.928449,-0.012928
-0.92075,-0.012942
-0.913096,-0.012883
-0.905343,-0.012868
-0.897694,-0.012848
-0.890015,-0.012789
-0.882382,-0.01254
-0.874616,-0.012899
-0.866896,-0.012757
-0.859197,-0.012686
-0.851539,-0.012673
-0.843846,-0.012591
-0.836234,-0.012571
-0.828574,-0.012536
-0.820727,-0.012508
-0.813069,-0.012481
-0.805375,-0.012463
-0.797776,-0.012449
-0.790087,-0.012435
-0.782508,-0.012419
-0.774815,-0.012438
-0.76722,-0.012384
-0.75953,-0.012349
-0.751751,-0.012363
-0.744098,-0.01234
-0.736445,-0.012344
-0.728834,-0.012309
-0.721069,-0.012271
-0.713502,-0.012254
-0.705687,-0.012212
-0.69811,-0.012161
-0.690528,-0.012142
-0.682825,-0.012114
-0.675175,-0.012091
-0.667372,-0.012072
-0.659726,-0.012061
-0.652031,-0.012024
-0.644373,-0.012013
-0.636636,-0.011999
-0.628982,-0.011968
-0.62129,-0.011926
-0.61364,-0.011881
-0.605886,-0.011844
-0.598193,-0.011812
-0.590512,-0.011789
-0.582814,-0.011766
-0.5751,-0.011735
-0.567477,-0.01171
-0.559828,-0.011684
-0.551978,-0.01166
-0.544313,-0.011633
-0.536676,-0.011607
-0.528987,-0.011581
-0.521293,-0.011556
-0.513693,-0.011523
-0.506038,-0.011486
-0.498463,-0.011448
-0.490747,-0.011412
-0.482983,-0.011384
-0.475325,-0.011354
-0.467769,-0.011327
-0.460076,-0.011295
-0.452335,-0.011276
-0.444756,-0.011275
-0.436962,-0.011218
-0.429347,-0.01121
-0.421832,-0.011175
-0.414166,-0.01115
-0.406432,-0.011122
-0.398656,-0.011093
-0.390986,-0.011058
-0.383284,-0.011021
-0.375656,-0.010984
-0.367904,-0.010947
-0.360261,-0.010902
-0.352595,-0.010864
-0.344919,-0.010825
-0.337179,-0.010787
-0.329504,-0.010753
-0.321814,-0.010716
-0.31411,-0.010675
-0.306491,-0.01063
-0.298823,-0.010586
-0.291165,-0.010541
-0.28333,-0.010498
-0.275648,-0.010461
-0.268025,-0.010425
-0.260353,-0.010389
-0.252711,-0.010355
-0.245069,-0.010318
-0.237475,-0.010281
-0.229811,-0.010243
-0.222098,-0.010204
-0.21436,-0.010162
-0.206429,-0.010108
-0.198503,-0.010059
-0.190555,-0.010008
-0.182536,-0.009949
-0.174578,-0.009891
-0.16653,-0.00983
-0.158568,-0.009766
-0.150829,-0.009696
-0.142895,-0.009618
-0.134712,-0.009525
-0.12683,-0.009422
-0.118741,-0.009307
-0.11089,-0.009175
-0.102792,-0.009016
-0.094491,-0.00883
-0.086933,-0.008607
-0.078615,-0.008344
-0.07057,-0.008003
-0.062546,-0.00762
-0.054562,-0.007096
-0.046542,-0.006529
-0.03859,-0.005795
-0.030625,-0.004965
-0.022714,-0.003975
-0.014504,-0.002764
-0.006282,-0.001378
0.001725,0.000119
0.009789,0.001889
0.017436,0.003851
0.025416,0.006017
0.033275,0.0084
0.041228,0.010872
0.049035,0.013599
0.056763,0.016524
0.064431,0.01964
0.072105,0.022855
0.079898,0.026346
0.087569,0.029949
0.095316,0.033763
0.103065,0.03773
0.110798,0.04181
0.118445,0.046011
0.125784,0.050374
0.133547,0.054956
0.141161,0.059525
0.148928,0.06426
0.156503,0.069046
0.164229,0.07401
0.17192,0.078985
0.179582,0.08409
0.187219,0.088981
0.19453,0.094266
0.202365,0.099453
0.209666,0.104578
0.217086,0.109863
0.224406,0.115142
0.231673,0.120451
0.23902,0.125873
0.246271,0.131264
0.253814,0.136942
0.261038,0.142417
0.268401,0.14805
0.275718,0.153694
0.283074,0.159423
0.290378,0.165127
0.297648,0.17088
0.304959,0.176716
0.312238,0.182467
0.319715,0.188422
0.327049,0.194336
0.334284,0.200216
0.341613,0.206196
0.348926,0.212175
0.356294,0.218219
0.363606,0.224236
0.370964,0.230323
0.378278,0.236392
0.385371,0.242308
0.392704,0.24844
0.400216,0.254756
0.407536,0.260907
0.414894,0.267131
0.422195,0.273343
0.429525,0.279599
0.436893,0.2859
0.44421,0.292199
0.451559,0.298517
0.458848,0.3048
0.466304,0.31126
0.473628,0.317642
0.480939,0.323997
0.488364,0.330508
0.495598,0.336844
0.502972,0.343295
0.510202,0.349652
0.517753,0.356314
0.525074,0.362763
0.532436,0.369302
0.539771,0.375814
0.547066,0.382306
0.554396,0.38883
0.561692,0.395361
0.568995,0.401875
0.576326,0.408452
0.583717,0.415103
0.591103,0.421715
0.598342,0.428234
0.60566,0.434829
0.61298,0.441404
0.620336,0.448058
0.627657,0.45467
0.635017,0.461324
0.642366,0.467998
0.649672,0.474663
0.65697,0.481272
0.664292,0.48796
0.671754,0.494761
0.6791,0.50145
0.68643,0.508157
0.693741,0.514848
0.701119,0.521604
0.708507,0.528394
0.715802,0.535091
0.723089,0.541765
0.730412,0.54851
0.737871,0.555374
0.745205,0.562103
0.752634,0.56895
0.759845,0.575604
0.767203,0.582368
0.774539,0.589148
0.781865,0.595904
0.789388,0.60285
0.79667,0.609586
0.804011,0.61638
0.8113,0.623124
0.81864,0.629933
0.825897,0.636693
0.833239,0.643522
0.840542,0.650323
0.847781,0.657067
0.855268,0.664053
0.862503,0.670807
0.869793,0.677619
0.877105,0.684447
0.884418,0.691266
0.891786,0.698164
0.899107,0.705028
0.906533,0.711973
0.91386,0.718833
0.921091,0.725565
0.928412,0.732393
0.935815,0.739321
0.943204,0.746246
0.950485,0.753084
0.95788,0.760024
0.965175,0.766852
0.972548,0.773749
0.979846,0.780589
0.987121,0.787433
0.994441,0.794312
1.001854,0.801286
1.009197,0.808219
1.016533,0.815137
1.023214,0.822123
1.030445,0.82902
1.03775,0.835892
1.044944,0.842706
1.05232,0.8497
1.05967,0.856643
1.066949,0.863511
1.074251,0.870419
1.081457,0.877309
1.088737,0.884246
1.095933,0.891043
1.10319,0.897902
1.110405,0.904727
1.117661,0.911652
1.125069,0.918669
1.132302,0.925568
1.13954,0.932466
