Vin,Vout
-1.487198,-1.487245
-1.48054,-1.480581
-1.473876,-1.473914
-1.467191,-1.467221
-1.460572,-1.460616
-1.454028,-1.454065
-1.447441,-1.447466
-1.440767,-1.440797
-1.434168,-1.434188
-1.427577,-1.427623
-1.420987,-1.421022
-1.414418,-1.414454
-1.407711,-1.407731
-1.401113,-1.401141
-1.394404,-1.394463
-1.387852,-1.387877
-1.381197,-1.381238
-1.374605,-1.374647
-1.368098,-1.368149
-1.361352,-1.361405
-1.354643,-1.354686
-1.348102,-1.348129
-1.341509,-1.341547
-1.33493,-1.334958
-1.328347,-1.328396
-1.321715,-1.321756
-1.315194,-1.315228
-1.308597,-1.308632
-1.302036,-1.302061
-1.29538,-1.295442
-1.288702,-1.288731
-1.282192,-1.282236
-1.275619,-1.275649
-1.269005,-1.269054
-1.262408,-1.262464
-1.255782,-1.255828
-1.249124,-1.249157
-1.242558,-1.242596
-1.235952,-1.235997
-1.229357,-1.229402
-1.222901,-1.222943
-1.216314,-1.216334
-1.209554,-1.2096
-1.202965,-1.202995
-1.196386,-1.196446
-1.189784,-1.189814
-1.183183,-1.18323
-1.176538,-1.176588
-1.169945,-1.169987
-1.163271,-1.163326
-1.156787,-1.156829
-1.150202,-1.150262
-1.143498,-1.143541
-1.136845,-1.136915
-1.130237,-1.130268
-1.123566,-1.123616
-1.117011,-1.117047
-1.110438,-1.110482
-1.103859,-1.103898
-1.097285,-1.097324
-1.090454,-1.090506
-1.083955,-1.083987
-1.077273,-1.077326
-1.070676,-1.070724
-1.064175,-1.064221
-1.05754,-1.05757
-1.050991,-1.051044
-1.044358,-1.044398
-1.03783,-1.037886
-1.031228,-1.031276
-1.024539,-1.024591
-1.017969,-1.018001
-1.011398,-1.011448
-1.004792,-1.004854
-0.997515,-0.997534
-0.984381,-0.99011
-0.977096,-0.977171
-0.969676,-0.969711
-0.962439,-0.962469
-0.955201,-0.955227
-0.947906,-0.947924
-0.940403,-0.940416
-0.933091,-0.933104
-0.925747,-0.925777
-0.918388,-0.918405
-0.91107,-0.911083
-0.903695,-0.903718
-0.896381,-0.896392
-0.889094,-0.889114
-0.881752,-0.881791
-0.874271,-0.874312
-0.866911,-0.866943
-0.859537,-0.859598
-0.852207,-0.852234
-0.844892,-0.84492
-0.837614,-0.837668
-0.830262,-0.830311
-0.822779,-0.822794
-0.815443,-0.815475
-0.808086,-0.808107
-0.800801,-0.800817
-0.79346,-0.793496
-0.786154,-0.786186
-0.778842,-0.778866
-0.771529,-0.771573
-0.764251,-0.764298
-0.756817,-0.756853
-0.749435,-0.749488
-0.742112,-0.742159
-0.7348,-0.734838
-0.72754,-0.727598
-0.720123,-0.72017
-0.712851,-0.712902
-0.705417,-0.705474
-0.698161,-0.698195
-0.690914,-0.690932
-0.683595,-0.683641
-0.676339,-0.676389
-0.668816,-0.668856
-0.661561,-0.661606
-0.65414,-0.654193
-0.646836,-0.646875
-0.639471,-0.639512
-0.632139,-0.632193
-0.624797,-0.624842
-0.617461,-0.617508
-0.610121,-0.610185
-0.602693,-0.602746
-0.595361,-0.59541
-0.588014,-0.588073
-0.580686,-0.580731
-0.573412,-0.573442
-0.566067,-0.566109
-0.558742,-0.558791
-0.551253,-0.5513
-0.543931,-0.543986
-0.536619,-0.536675
-0.529306,-0.529358
-0.521935,-0.521985
-0.514648,-0.514702
-0.507318,-0.507364
-0.500005,-0.50008
-0.49268,-0.492732
-0.485223,-0.485271
-0.47795,-0.478027
-0.470653,-0.470706
-0.463416,-0.463467
-0.456027,-0.456103
-0.44873,-0.448778
-0.441393,-0.441445
-0.433959,-0.434028
-0.426703,-0.426757
-0.419506,-0.41956
-0.412243,-0.412312
-0.404718,-0.404787
-0.39744,-0.397494
-0.390065,-0.390142
-0.382673,-0.38274
-0.375347,-0.375411
-0.367918,-0.367988
-0.360585,-0.360656
-0.353347,-0.353396
-0.346,-0.346073
-0.338626,-0.338699
-0.331213,-0.331259
-0.323976,-0.324046
-0.31655,-0.316607
-0.309252,-0.309305
-0.30194,-0.302013
-0.294592,-0.29466
-0.287111,-0.287176
-0.279763,-0.27984
-0.272464,-0.272542
-0.265108,-0.265167
-0.257777,-0.257865
-0.250417,-0.250493
-0.243086,-0.243151
-0.23586,-0.235943
-0.228532,-0.228606
-0.221125,-0.221181
-0.213785,-0.213841
-0.206471,-0.206536
-0.199238,-0.1993
-0.191947,-0.191995
-0.184492,-0.184554
-0.177214,-0.177288
-0.169786,-0.169863
-0.162514,-0.16259
-0.155239,-0.155305
-0.1481,-0.148172
-0.140785,-0.140859
-0.133279,-0.133359
-0.125918,-0.125987
-0.118541,-0.11861
-0.11131,-0.111382
-0.103937,-0.104009
-0.096184,-0.096257
-0.088931,-0.088588
-0.080892,-0.080916
-0.07325,-0.073322
-0.065338,-0.065412
-0.057696,-0.05776
-0.049856,-0.049928
-0.042168,-0.042251
-0.034456,-0.034526
-0.026723,-0.026813
-0.018833,-0.018916
-0.011104,-0.011199
-0.003109,-0.003176
0.00497,0.004873
0.012624,0.012551
0.020379,0.020283
0.028137,0.028035
0.035743,0.035651
0.043489,0.043404
0.051272,0.051201
0.058993,0.058915
0.066643,0.066574
0.074324,0.074253
0.082085,0.081981
0.089839,0.089334
0.097591,0.09748
0.105299,0.104807
0.113021,0.112537
0.120248,0.120149
0.127561,0.127487
0.135059,0.134989
0.142397,0.142289
0.149806,0.149711
0.157081,0.156993
0.164442,0.164327
0.171796,0.171687
0.179106,0.179007
0.18645,0.186348
0.193764,0.193675
0.201293,0.201217
0.208529,0.20844
0.215951,0.215859
0.223278,0.223205
0.230566,0.230471
0.237898,0.237809
0.245149,0.245064
0.252699,0.252599
0.260027,0.25993
0.267381,0.26728
0.274689,0.274597
0.281972,0.281858
0.289345,0.289241
0.296603,0.296505
0.303905,0.303798
0.311194,0.311112
0.318705,0.318622
0.326019,0.325921
0.333254,0.333167
0.34056,0.340473
0.347863,0.347763
0.355236,0.355142
0.362565,0.362477
0.369895,0.369799
0.377233,0.377147
0.384385,0.384304
0.391713,0.391598
0.399156,0.399047
0.406505,0.406396
0.41383,0.41371
0.42118,0.42107
0.428492,0.428394
0.435897,0.435803
0.443213,0.443109
0.450567,0.450477
0.457822,0.457714
0.465207,0.46511
0.472559,0.472473
0.479888,0.479784
0.487317,0.487214
0.494561,0.494469
0.501911,0.501806
0.509205,0.509091
0.516699,0.516584
0.524114,0.523976
0.531374,0.531259
0.538748,0.538633
0.546021,0.545879
0.553398,0.553285
0.560679,0.560579
0.567988,0.567874
0.575317,0.575212
0.582621,0.582521
0.590062,0.589943
0.5973,0.597195
0.604581,0.604488
0.611939,0.611821
0.619271,0.619161
0.626583,0.626476
0.633983,0.633851
0.641356,0.641223
0.648675,0.648562
0.655904,0.655769
0.663195,0.66307
0.670664,0.670557
0.678008,0.677877
0.685382,0.685266
0.692684,0.69258
0.700084,0.699959
0.707392,0.707273
0.714724,0.714625
0.721988,0.721865
0.729315,0.729196
0.73674,0.736631
0.744084,0.74395
0.751472,0.751339
0.758839,0.758717
0.766172,0.766044
0.773527,0.773399
0.780786,0.780653
0.788352,0.788235
0.795606,0.795481
0.802951,0.802825
0.810228,0.810113
0.81757,0.817458
0.824897,0.824781
0.832149,0.832036
0.839445,0.839332
0.8467,0.84659
0.854172,0.854054
0.861427,0.861298
0.868726,0.868606
0.87607,0.875953
0.883394,0.883246
0.890804,0.89067
0.89807,0.897941
0.905482,0.905344
0.912793,0.912664
0.92004,0.919915
0.927381,0.927237
0.934733,0.934616
0.942181,0.942067
0.949504,0.949384
0.956802,0.956673
0.964135,0.964019
0.971485,0.971349
0.978818,0.978691
0.986073,0.991719
0.999062,1.004823
1.012198,1.011364
1.018805,1.018672
1.025367,1.02527
1.031939,1.031845
1.038582,1.038453
1.045153,1.045048
1.051747,1.051636
1.058525,1.058433
1.065042,1.064948
1.071667,1.071548
1.078194,1.078086
1.084811,1.084703
1.091389,1.091299
1.098036,1.097924
1.104559,1.104457
1.111076,1.110968
1.117689,1.117595
1.124441,1.124333
1.130993,1.130886
1.137531,1.137428
1.144221,1.144112
1.150692,1.15059
1.157347,1.157228
1.163937,1.16383
1.170643,1.170516
1.177327,1.177226
1.183829,1.183716
1.190315,1.19021
1.196844,1.196726
1.203575,1.203448
1.210228,1.210126
1.216772,1.216664
1.223427,1.223332
1.230001,1.229873
1.236671,1.236573
1.243328,1.243219
1.249839,1.249725
1.256391,1.256283
1.26306,1.262937
1.269631,1.269512
1.276378,1.276258
1.282967,1.282865
1.289603,1.289494
1.296183,1.296068
1.302741,1.302631
1.309328,1.30923
1.315929,1.315811
1.322727,1.322623
1.329288,1.329166
1.335808,1.335702
1.342388,1.342283
1.349039,1.348927
1.355591,1.355479
1.362227,1.362098
1.368859,1.368745
1.375333,1.375205
1.381896,1.381789
1.388568,1.388449
1.395221,1.395108
1.401782,1.401668
